branch,screen,CPU,RAM,memory,graphic card,weight,discount,warranty,fgold,installment,evaluation,answer,star,size,color,cpu_branch,cpu_type,cpu_speed,cpu_core,cpu_thread,ram_type,ram_speed,ram_track,ram_onboard,screen_tech,screen_resolution,screen_plate,screen_scan,screen_coverage,screen_type,speaker,keyboard_type,keyboard_number,keyboard_lamp,battery_type,battery_supply,os,price
hp,15.6,Core i5,16,512,Intel UHD Graphics,1.36,1600000,12,4.897,1587000,3,1,5,32.4 x 21.5 x 1.79 cm,Bạc,Intel,1335U,1.3,,,DDR4,,2,0,LCD,1920 x 1080 Pixels,SVA,60,,,,Chiclet Keyboard,Có,Không,,,windows,17990000
lg,16.0,Core i7,16,512,Intel Iris Plus Graphics,2.0,3000000,12,11.747,3789000,2,5,5,40.6 cm,Xám,Intel,1360P,1.9,,,DDR5,6000 MHz,0,1,OLED,2560 x 1600 Pixels,OLED,120,,,,Bàn phím cứng,Có,LED,,,windows,43990000
lg,16.0,Core i7,16,512,NVIDIA GeForce RTX 3050 4GB,1.299,5100000,24,11.747,4030999,2,6,4,35.51 x 24.23 x 1.68 cm,Đen,Intel,1360P,3.7,,,LPDDR5,6000 MHz,0,2,Anti - Glare,2560 x 1600 Pixels,IPS,60,,,,Backlit Chiclet Keyboard,Có,LED,,,windows,44890000
msi,16.0,Core i7,16,512,NVIDIA GeForce RTX 4050 6GB GDDR6,2.26,2700000,24,9.347,3213000,2,6,4,359 x 259 x 23.95 mm,Đen,Intel,13700H,2.4,14.0,20.0,DDR5,5200 MHz,2,1,IPS,1920 x 1200 Pixels,IPS,144,,,4,Backlit Chiclet Keyboard,Có,LED,,200 W,windows,37290000
macbook,16.2,M2 Max,32,1,Apple M2 Max,2.16,7300000,12,21.235,10678000,18,17,5,35.57 x 24.81 x 1.68 cm,Xám,Apple,12-Core,,12.0,,Hãng không công bố,Hãng không công bố MHz,Không,Có,Retina,3456 x 2234 Pixels,OLED,120,,LED,6,English International Backlit Keyboard,Không,LED,Lithium polymer,140 W,macos,85690000
macbook,16.2,M2 Pro,32,512,Apple M2 Pro,2.15,0,12,0.0,10328000,0,0,0,35.57 x 24.81 x 1.68 cm,Xám,Apple,12-Core,,12.0,,Hãng không công bố,Hãng không công bố MHz,Không,Có,Retina,3456 x 2234 Pixels,OLED,120,,LED,6,English International Backlit Keyboard,Không,LED,Lithium polymer,140 W,macos,76990000
macbook,14.2,M2 Max,32,1,Apple M2 Max,1.63,6300000,12,18.735,10983000,44,0,5,31.26 x 22.12 x 1.55 cm,Xám,Apple,12-Core,,12.0,,,,Không,Có,Retina,3024 x 1964 Pixels,OLED,120,,LED,6,English International Backlit Keyboard,Không,LED,Lithium polymer,96 W,macos,75690000
macbook,16.2,M2 Pro,16,1,Apple M2 Pro,2.15,6000000,12,17.485,9524000,2,38,5,35.57 x 24.81 x 1.68 cm,Xám,Apple,12-Core,,12.0,,Hãng không công bố,Hãng không công bố MHz,Không,Có,Retina,3456 x 2234 Pixels,OLED,120,,LED,6,English International Backlit Keyboard,Không,LED,Lithium polymer,140 W,macos,64990000
msi,16.0,Core i7,32,2,NVIDIA Geforce RTX 4070 8GB GDDR6,2.7,6000000,24,15.672,5397000,0,0,5,357 * 284 * 22.2 mm,Đen,Intel,13700HX,2.1,16.0,24.0,DDR5,5600 MHz,2,0,IPS,2560 x 1600 Pixels,IPS,240,100% DCI-P3,LED,4,Backlit Chiclet Keyboard,Có,LED,Lithium polymer,,windows,60990000
macbook,14.2,M2,32,512,Apple M2 Pro,1.6,5500000,12,13.97,8586000,0,7,5,31.26 x 22.12 x 1.55 cm,Xám,Apple,10-Core,,10.0,,Hãng không công bố,Hãng không công bố MHz,Không,Có,Retina,3024 x 1964 Pixels,OLED,120,,LED,6,English International Backlit Keyboard,Không,LED,Lithium polymer,67 W,macos,58490000
msi,16.0,Core i7,16,2,NVIDIA GeForce RTX 4060 8GB GDDR6,2.7,11000000,24,13.497,4722000,0,0,0,357*284*22.2 mm,Đen,Intel,13700HX,2.1,16.0,24.0,DDR5,5600 MHz,2,0,IPS,2560 x 1600 Pixels,IPS,240,100% NTSC,LED,4,Backlit Chiclet Keyboard,Có,LED,Lithium polymer,,windows,51990000
macbook,14.2,M1 Pro,16,1,Apple M1 Pro,1.604,10000000,12,12.747,8050000,97,493,5,,Xám,Apple,,,10.0,16.0,,,Không,Có,,3024 x 1964 Pixels,,,96% sRGB,LED,6,English International Backlit Keyboard,Không,LED,Lithium polymer,,macos,49990000
asus,15.6,Core i9,32,2,NVIDIA GeForce RTX 3080 8GB,2.3,30000000,24,12.997,5237000,87,32,5,35.4 x 25.9 x 2.26 cm,Đen,Intel,12900H,2.5,14.0,,DDR5,4800 MHz,2,0,Anti - Glare,2560 x 1440 Pixels,IPS,240,100% DCI-P3,Màn hình phẳng,4,Backlit Chiclet Keyboard,Có (NumberPad),LED,Lithium-ion 4 viên,280 W,windows,49990000
msi,17.3,Core i7,16,512,NVIDIA Geforce RTX 4070 8GB GDDR6,2.8,5000000,24,12.222,4272000,0,1,5,397 * 284 * 25.9 mm,Đen,Intel,13700H,2.4,14.0,20.0,DDR5,5200 MHz,2,0,IPS FHD,2560 x 1440 Pixels,IPS,240,100% NTSC,LED,2,Backlit Chiclet Keyboard,Có,LED,Lithium polymer,240 W,windows,47990000
macbook,13.3,M2,16,512,Apple M2,1.4,3000000,12,9.585,6166000,113,189,5,304.1 x 212.4 x 15.6 mm,Xám,Apple,8 - Core,2.4,,,LPDDR4,3200 MHz,Không,Có,Retina,2560 x 1600 Pixels,,,,LED,2,English International Backlit Keyboard,Không,LED,Lithium polymer,67 W,macos,39990000
dell,15.6,Core i7,16,512,NVIDIA GeForce RTX 4060 8GB GDDR6,2.65,3000000,12,10.747,3468000,4,8,4,357.26 x 274.52 x Height: (Front: 21.28 ; Rear: 26.15 ) mm,Xám,Intel,13650HX,1.9,14.0,20.0,DDR5,4800 MHz,2,0,WVA Anti-glare LED Backlit Narrow Border,1920 x 1080 Pixels,WVA,165,100% sRGB,,,"6-row, multimedia Fn keys, numeric keypad",Có,LED,Lithium-ion,,windows,39990000
asus,16.0,Core i7,16,512,NVIDIA GeForce RTX 4050 6GB GDDR6,2.0,5500000,24,11.247,3508000,0,0,5,35.5 x 24.3 x 2.05 ~ 2.29 cm,Xám,Intel,13620H,2.4,6.0,4.0,DDR4,3200 MHz,1,1,Anti - Glare,1920 x 1200 Pixels,IPS,165,100% sRGB,Màn hình phẳng,,Backlit Chiclet Keyboard,Không,LED,Lithium-ion 4 viên,240 W,windows,39490000
asus,14.0,Ryzen 7,16,512,NVIDIA GeForce RTX 3050 4GB,1.72,5000000,24,9.622,3387000,0,3,5,31.2 x 22.7 x 1.95 ~ 2.05 cm,Xám,AMD,7735HS,3.2,8.0,16.0,DDR5,4800 MHz,1,1,Anti - Glare,1920 x 1200 Pixels,IPS,144,100% sRGB,Màn hình phẳng,,Backlit Chiclet Keyboard,Không,LED,Lithium-ion,200 W,windows,37990000
macbook,15.3,M2,8,512,Apple M2,1.51,0,12,0.0,3045000,0,0,5,23.76 x 34.04 x 1.15 cm,Xanh dương,Apple,8 - Core,,,,Hãng không công bố,Hãng không công bố MHz,0,1,Liquid Retina,2960 x 1848 Pixels,OLED,60,,LED,6,English International Backlit Keyboard,Không,LED,Lithium polymer,70 W,macos,37890000
asus,16.0,Core i7,16,512,NVIDIA GeForce RTX 4050 6GB GDDR6,3.82,6500000,24,9.372,3428000,13,19,5,35.4 x 26.4 x 2.26 ~ 3.04 cm,Xám,Intel,13650HX,2.6,14.0,20.0,DDR5,4800 MHz,2,0,Anti-Glare,1920 x 1200 Pixels,IPS,165,100% sRGB,LED,,Backlit Chiclet Keyboard,Không,LED,,,windows,37490000
